         2914 function calls (2869 primitive calls) in 0.654 seconds

   Ordered by: internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.651    0.651    0.654    0.654 sim_env.py:80(__init__)
        2    0.000    0.000    0.000    0.000 seeding.py:11(np_random)
    52/51    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.array}
      480    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 weakref.py:356(__init__)
      5/4    0.000    0.000    0.000    0.000 base.py:274(__new__)
        5    0.000    0.000    0.000    0.000 managers.py:216(_rebuild_blknos_and_blklocs)
      224    0.000    0.000    0.000    0.000 generic.py:7(_check)
        1    0.000    0.000    0.002    0.002 sim_env.py:147(_next_observation)
        2    0.000    0.000    0.000    0.000 {method 'seed' of 'mtrand.RandomState' objects}
        2    0.000    0.000    0.000    0.000 blocks.py:3303(_merge_blocks)
      347    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        9    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.concatenate}
        8    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.001    0.000 box.py:23(__init__)
  194/152    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       53    0.000    0.000    0.000    0.000 base.py:231(is_dtype)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
        6    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
       34    0.000    0.000    0.000    0.000 common.py:1886(_is_dtype_type)
       80    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.000    0.000 shape_base.py:1069(tile)
        4    0.000    0.000    0.000    0.000 seeding.py:69(_bigint_from_bytes)
       32    0.000    0.000    0.000    0.000 common.py:1743(is_extension_array_dtype)
       32    0.000    0.000    0.000    0.000 dtypes.py:83(find)
        3    0.000    0.000    0.000    0.000 base.py:4221(__contains__)
        3    0.000    0.000    0.000    0.000 algorithms.py:1608(take_nd)
        7    0.000    0.000    0.000    0.000 base.py:570(_simple_new)
        1    0.000    0.000    0.654    0.654 {built-in method builtins.exec}
       13    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
        1    0.000    0.000    0.000    0.000 index_tricks.py:247(__getitem__)
        1    0.000    0.000    0.654    0.654 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
        1    0.000    0.000    0.000    0.000 managers.py:1157(insert)
        1    0.000    0.000    0.000    0.000 managers.py:1273(_slice_take_blocks_ax0)
       13    0.000    0.000    0.000    0.000 managers.py:167(shape)
        2    0.000    0.000    0.000    0.000 cast.py:298(maybe_promote)
        8    0.000    0.000    0.000    0.000 blocks.py:120(__init__)
        8    0.000    0.000    0.000    0.000 common.py:255(is_sparse)
        8    0.000    0.000    0.000    0.000 blocks.py:3239(make_block)
        2    0.000    0.000    0.000    0.000 base.py:2950(get_indexer)
       13    0.000    0.000    0.000    0.000 dtypes.py:1092(is_dtype)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.arange}
        3    0.000    0.000    0.000    0.000 blocks.py:3193(get_block_type)
        3    0.000    0.000    0.000    0.000 base.py:635(_shallow_copy)
        2    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_int64_int64}
        3    0.000    0.000    0.000    0.000 blocks.py:317(getitem_block)
        2    0.000    0.000    0.000    0.000 managers.py:1900(_consolidate)
        6    0.000    0.000    0.000    0.000 common.py:240(asarray_tuplesafe)
        2    0.000    0.000    0.000    0.000 numeric.py:630(require)
        1    0.000    0.000    0.000    0.000 base.py:1796(is_unique)
        1    0.000    0.000    0.000    0.000 sim_env.py:153(<listcomp>)
        2    0.000    0.000    0.000    0.000 seeding.py:21(hash_seed)
        7    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 numerictypes.py:927(_can_coerce_all)
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.clean_index_list}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
        2    0.000    0.000    0.000    0.000 blocks.py:3317(<listcomp>)
        1    0.000    0.000    0.000    0.000 indexing.py:1028(_get_listlike_indexer)
        8    0.000    0.000    0.000    0.000 blocks.py:243(mgr_locs)
       38    0.000    0.000    0.000    0.000 base.py:720(__len__)
        1    0.000    0.000    0.000    0.000 frame.py:3663(_sanitize_column)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.000    0.000 frame.py:396(__init__)
        3    0.000    0.000    0.000    0.000 managers.py:126(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       10    0.000    0.000    0.000    0.000 base.py:5697(ensure_index)
        2    0.000    0.000    0.001    0.001 indexing.py:1396(__getitem__)
    26/25    0.000    0.000    0.000    0.000 numeric.py:433(asarray)
        6    0.000    0.000    0.000    0.000 shape_base.py:63(atleast_2d)
       39    0.000    0.000    0.000    0.000 managers.py:169(<genexpr>)
        4    0.000    0.000    0.000    0.000 managers.py:653(_consolidate_check)
        3    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 managers.py:934(_consolidate_inplace)
        3    0.000    0.000    0.000    0.000 cast.py:1239(construct_1d_object_array_from_listlike)
        1    0.000    0.000    0.000    0.000 generic.py:3365(_slice)
       16    0.000    0.000    0.000    0.000 common.py:2020(pandas_dtype)
        2    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 generic.py:4553(_reindex_with_indexers)
       20    0.000    0.000    0.000    0.000 common.py:539(is_datetime64tz_dtype)
        1    0.000    0.000    0.000    0.000 managers.py:1994(_fast_count_smallints)
        4    0.000    0.000    0.000    0.000 common.py:99(is_bool_indexer)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
        1    0.000    0.000    0.000    0.000 indexing.py:1124(_validate_read_indexer)
        1    0.000    0.000    0.001    0.001 indexing.py:1762(_getitem_axis)
        2    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
        3    0.000    0.000    0.000    0.000 managers.py:203(_is_single_block)
        1    0.000    0.000    0.000    0.000 managers.py:738(get_slice)
        1    0.000    0.000    0.001    0.001 indexing.py:789(_getitem_tuple)
        1    0.000    0.000    0.000    0.000 indexing.py:273(_convert_slice_indexer)
       12    0.000    0.000    0.000    0.000 base.py:3894(values)
       12    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_list_like}
        2    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        2    0.000    0.000    0.000    0.000 numeric.py:268(full)
        7    0.000    0.000    0.000    0.000 blocks.py:345(ftype)
        6    0.000    0.000    0.000    0.000 generic.py:414(_get_axis_name)
        1    0.000    0.000    0.000    0.000 base.py:3357(reindex)
        1    0.000    0.000    0.000    0.000 managers.py:1030(set)
       16    0.000    0.000    0.000    0.000 common.py:642(is_interval_dtype)
       18    0.000    0.000    0.000    0.000 managers.py:171(ndim)
        8    0.000    0.000    0.000    0.000 common.py:508(is_datetime64_dtype)
        8    0.000    0.000    0.000    0.000 dtypes.py:912(is_dtype)
        2    0.000    0.000    0.000    0.000 seeding.py:80(_int_list_from_bigint)
        3    0.000    0.000    0.000    0.000 blocks.py:3271(_extend_blocks)
        2    0.000    0.000    0.000    0.000 space.py:9(__init__)
       18    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
       15    0.000    0.000    0.000    0.000 common.py:678(is_categorical_dtype)
        1    0.000    0.000    0.000    0.000 indexing.py:887(_getitem_lowerdim)
       25    0.000    0.000    0.000    0.000 common.py:211(<lambda>)
       10    0.000    0.000    0.000    0.000 common.py:1850(_get_dtype)
        3    0.000    0.000    0.000    0.000 generic.py:163(__init__)
       10    0.000    0.000    0.000    0.000 blocks.py:170(_consolidate_key)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.copyto}
        1    0.000    0.000    0.000    0.000 managers.py:353(apply)
        3    0.000    0.000    0.000    0.000 {method 'set_mass_flow_rate' of 'cantera._cantera.MassFlowController' objects}
       10    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 generic.py:427(_get_axis)
        4    0.000    0.000    0.000    0.000 common.py:1619(is_bool_dtype)
       12    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 common.py:577(is_timedelta64_dtype)
        5    0.000    0.000    0.000    0.000 blocks.py:267(make_block_same_class)
       10    0.000    0.000    0.000    0.000 managers.py:1906(<lambda>)
        5    0.000    0.000    0.000    0.000 weakref.py:408(__setitem__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 seeding.py:45(create_seed)
       25    0.000    0.000    0.000    0.000 common.py:209(classes)
        7    0.000    0.000    0.000    0.000 _methods.py:42(_any)
        6    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.000    0.000 cast.py:63(maybe_convert_platform)
       31    0.000    0.000    0.000    0.000 blocks.py:239(mgr_locs)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000    0.000    0.000 base.py:5288(insert)
        2    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 base.py:4255(__getitem__)
        2    0.000    0.000    0.000    0.000 numeric.py:1927(isscalar)
        2    0.000    0.000    0.000    0.000 numeric.py:82(_shallow_copy)
        1    0.000    0.000    0.000    0.000 base.py:2881(get_loc)
        1    0.000    0.000    0.001    0.001 indexing.py:1082(_getitem_iterable)
        2    0.000    0.000    0.000    0.000 base.py:711(_engine)
        1    0.000    0.000    0.000    0.000 base.py:4370(equals)
        1    0.000    0.000    0.000    0.000 managers.py:340(_verify_integrity)
       13    0.000    0.000    0.000    0.000 numeric.py:504(asanyarray)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1236(squeeze)
        1    0.000    0.000    0.001    0.001 frame.py:3453(__setitem__)
        1    0.000    0.000    0.000    0.000 managers.py:1223(reindex_indexer)
        8    0.000    0.000    0.000    0.000 common.py:608(is_period_dtype)
        1    0.000    0.000    0.000    0.000 base.py:1185(__iter__)
        2    0.000    0.000    0.000    0.000 getlimits.py:376(__new__)
        1    0.000    0.000    0.000    0.000 indexing.py:2327(convert_to_index_sliceable)
        7    0.000    0.000    0.000    0.000 common.py:1163(is_datetime64_any_dtype)
